Date,Description,Province,City,Industry,Sub Industry,Company Name,Company Ownership,Action Type,Number Of Participants,Employees Demands,Response to Collective Actions
2021-08-30,"Workers protest against wage arrears in Xian, Shaanxi",陕西省,西安市,Construction,Commercial Property,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-08-29,"Workers protest against wage arrears of a construction project, forced to quit filing petitions to the local government in Anda, Heilongjiang",黑龙江省,绥化市,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-08-28,"Taxi drivers protest against shared electric bikes in Hongdong, Shanxi",山西省,临汾市,Transport&Logistics,Taxi,,Private Enterprise,Strike/Protest,101-1000,Management Supervision/Other,
2021-08-28,"Workers protest against wage arrears of a construction site in Pucheng, Shaanxi",陕西省,渭南市,Construction,Commercial Property,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention
2021-08-27,"Workers protest against wage arrears of a construction project in Wuchuan, Guangdong",广东省,湛江市,Construction,Residential Property,,SOE,Protest,1-100,Wage Arrears,
2021-08-26,"Employees of a media company protest against wage arrears in Guangzhou, Guangdong",Guangdong,Guangzhou,Services,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-08-24,"Workers protest against wage arrears of a factory construction site in Nanjing, Jiangsu",Jiangsu,Nanjing,Construction,Commercial Property,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-08-23,"Taxi drivers protest against quality issues of electric vehicles after policy implemented, in Linfen, Shanxi",Shanxi,Linfen,Transport&Logistics,Taxi,,SOE,Protest,101-1000,Management Supervision/Other,Negotiations with Management
2021-08-21,"Workers protest against wage arrears of an education company after bankruptcy in Changchun, Jilin",Jilin,Changchun,Education,"Continuing education, tutoring",,Private Enterprise,Protest,101-1000,Wage Arrears,
2021-08-21,"2,700 Taxi drivers go on strike against shared electric bikes in Zhangjiakou, Hebei",Hebei,Zhangjiakou,Transport&Logistics,Taxi,,Private Enterprise,Strike/Protest,1001-10000,Management Supervision/Other,Government Intervention/Negotiations with Management
2021-08-20,"Taxi drivers protest against shared electric bikes in Qinhuangdao, Hebei",Hebei,Qinhuangdao,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,Government Intervention
2021-08-20,"Workers protest against wage arrears, file lawsuits in Ziyang, Sichuan",Sichuan,Ziyang,Construction,,,Unknown,Protest,1-100,Wage Arrears,Government Intervention
2021-08-19,"Employees of an English school protest against layoffs and wages arrears, apply for arbitration in Shenzhen, Guangdong",Guangdong,Shenzhen,Education,"Continuing education, tutoring",,Private Enterprise,Protest,101-1000,Wage Arrears/Layoffs,Government Intervention/Negotiations with Management
2021-08-18,"Workers protest against wage and insurances in arrears, apply for arbitration in Xian, Shaanxi",Shanxi,"Xi,an",Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears/Social Insurance,Government Intervention
2021-08-18,"Workers protest against wage arrears of a kindergarten, turned down by the labor bureau, in Suzhou, Jiangsu",Jiangsu,Suzhou,Education,Kindergarten,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-08-18,"Taxi drivers go on strike against shared electric bikes in Yuanping, Shanxi",Shanxi,Xinzhou,Transport&Logistics,Taxi,,Private Enterprise,Strike/Protest,101-1000,Management Supervision/Other,Government Intervention/Negotiations with Management
2021-08-17,"Employees protest against wage arrears of a study abroad agency after managers fled, in Shanghai",Shanghai,Shanghai,Education,"Continuing education, tutoring",,Foreign,Protest,101-1000,Wage Arrears/Relocation or Closure/Social Insurance,Government Intervention
2021-08-16,"Workers protest against wage arrears of an English school after closure in Changsha, Hunan",Hunan,Changsha,Education,"Continuing education, tutoring",,Private Enterprise,Protest,101-1000,Wage Arrears/Relocation or Closure,
2021-08-16,"Taxi drivers go on strike against shared electric bikes in Ulanhot, Inner Mongolia",Neimenggu,Hinggan Meng,Transport&Logistics,Taxi,,Private Enterprise,Strike/Protest,1001-10000,Management Supervision/Other,Government Intervention/Negotiations with Management
2021-08-15,"Workers protest against wage arrears and layoffs of an education company, apply for arbitration in Nanjing, Jiangsu",Jiangsu,Nanjing,Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears/Layoffs,
